text,label
dealing with neck hunger stiff vision distorted headache indigestion disturbances and visual depression blurred irritability excessive,Neurology
dealing with headache fatigue pressure swelled high redness eyes irritation cough phlegm sneezing runny smell pain continuous congestion sinus of chest throat fever lymph nose pain nodes chills loss of muscle malaise,Pulmonology
feeling pain pain on cough ulcers acidity stomach tongue chest,Gastroenterology
having eyes of skin family yellowing of yellowish loss history fatigue appetite nausea,Gastroenterology
i have chills vomiting diarrhoea sweating nausea headache muscle pain,Infectious
experiencing distorted irritability visual neck indigestion acidity stiff blurred and hunger excessive vision headache disturbances depression,Neurology
feeling skin rash spotting stomach micturition burning urination pain,Dermatology
dealing with nausea fatigue hunger blurred and speech and vision excessive irritability distorted slurred sweating lips anxiety drying tingling palpitations headache vomiting,Endocrinology
my main issue is sweating chest breathlessness pain,Cardiology
my main issue is nodal rash skin dischromic patches eruptions skin itching,Dermatology
i think it's phlegm rate sputum cough breathlessness fast malaise heart high pain sweating fatigue fever chills rusty chest,Pulmonology
experiencing stomach skin spotting itching rash pain urination,Dermatology
having of lymph high headache loss nodes appetite lethargy fatigue red spots malaise skin swelled mild rash over body fever itching fever,Infectious
i have high stomach dark fatigue yellowish bleeding pain coma yellowing of acute eyes loss urine vomiting joint appetite of pain skin failure abdominal fever liver nausea,Gastroenterology
dealing with hunger blurred drying lips speech fatigue sweating nausea slurred tingling irritability excessive palpitations anxiety vomiting and headache distorted vision and,Endocrinology
my main issue is rash blackheads filled pimples skin scurring pus,Dermatology
i think it's chills eyes continuous sneezing watering shivering from,Dermatology
my main issue is distorted acidity headache blurred and disturbances irritability neck vision indigestion stiff depression visual,Neurology
i think it's pain dizziness of pain neck balance back loss,Neurology
my main issue is dark yellowing pain injections urine fatigue itching appetite malaise eyes blood lethargy of receiving transfusion abdominal unsterile yellow of urine receiving loss,Gastroenterology
i have abdominal eyes dark yellowish nausea joint yellowing of pain skin loss of appetite pain urine vomiting fatigue,Gastroenterology
i feel nausea spinning of headache movements balance unsteadiness loss vomiting lately,
my main issue is sweating breathlessness vomiting chest pain,Cardiology
my main issue is fatigue cough family history sputum breathlessness fever high mucoid,Pulmonology
i have acidity pain stomach chest cough vomiting pain,Gastroenterology
i think it's shivering watering continuous from eyes sneezing chills,Dermatology
