,text,label,label_id
0,having vision headache visual neck irritability blurred distorted and hunger excessive stiff indigestion depression disturbances,Neurology,5
1,dealing with fatigue swelled redness sneezing headache continuous of eyes malaise of nose loss runny fever muscle chest cough high pain throat nodes chills phlegm lymph pressure irritation sinus congestion pain smell,Pulmonology,7
2,my main issue is ulcers acidity cough on tongue pain chest pain stomach,Gastroenterology,3
3,i am having of history skin appetite yellowish fatigue nausea eyes yellowing of family loss,Gastroenterology,3
4,having nausea diarrhoea headache sweating chills pain muscle vomiting,Infectious,4
5,experiencing distorted acidity headache indigestion hunger stiff blurred irritability vision disturbances excessive and visual neck depression,Neurology,5
6,dealing with urination burning spotting skin pain micturition rash stomach,Dermatology,1
7,i feel irritability vision sweating headache speech lips nausea excessive drying blurred anxiety distorted tingling palpitations and hunger slurred vomiting and fatigue lately,Endocrinology,2
8,feeling sweating breathlessness pain chest,Cardiology,0
9,i am having patches skin dischromic itching skin rash eruptions nodal,Dermatology,1
10,suffering from malaise rate chills fatigue fever sweating chest rusty phlegm cough breathlessness high heart pain fast sputum,Pulmonology,7
11,i have urination skin stomach spotting pain rash itching,Dermatology,1
12,suffering from loss malaise fever red fever lymph spots swelled skin itching of rash mild high lethargy appetite body fatigue over headache nodes,Infectious,4
13,i think it's vomiting urine eyes appetite loss pain stomach of coma dark bleeding abdominal skin joint pain liver fatigue high failure of nausea yellowish yellowing acute fever,Gastroenterology,3
14,dealing with tingling headache drying distorted slurred fatigue lips irritability and vomiting palpitations nausea excessive anxiety sweating vision hunger and blurred speech,Endocrinology,2
15,feeling scurring skin filled rash blackheads pimples pus,Dermatology,1
16,i have shivering eyes from continuous watering sneezing chills,Dermatology,1
17,i have blurred headache visual neck and stiff vision disturbances depression irritability acidity indigestion distorted,Neurology,5
18,suffering from balance loss dizziness pain back neck of pain,Neurology,5
19,i am having loss eyes yellow lethargy yellowing receiving urine appetite fatigue blood transfusion of urine of unsterile pain injections abdominal dark itching malaise receiving,Gastroenterology,3
20,my main issue is vomiting abdominal pain appetite nausea of loss pain eyes of yellowing skin urine dark joint fatigue yellowish,Gastroenterology,3
21,i think it's sweating chest pain breathlessness vomiting,Cardiology,0
22,i feel sputum breathlessness high history fatigue mucoid fever family cough lately,Pulmonology,7
23,i have stomach vomiting pain acidity cough pain chest,Gastroenterology,3
24,having eyes from sneezing continuous chills shivering watering,Dermatology,1
25,my main issue is marital fever throat wasting high contacts extra muscle patches in,Infectious,4
26,my main issue is joint painful pain swelling hip joint walking pain knee pain pain neck joints,Orthopedics,6
27,i am having abdomen skin overload swelling of yellowish consumption pain abdominal of distention fluid vomiting stomach of history alcohol,Gastroenterology,3
28,i feel dizziness pain limbs of loss balance weakness in pain neck back lately,Neurology,5
29,experiencing hip pain joints walking joint pain swelling joint painful pain knee,Orthopedics,6
30,having history vomiting abdomen yellowish pain stomach skin abdominal of of of overload swelling distention fluid consumption alcohol,Gastroenterology,3
31,feeling wasting patches high muscle fever throat in,Infectious,4
32,i have mood face cold swollen eyes menstruation and fatigue puffy enlarged dizziness weight feets nails irritability thyroid abnormal gain hands swings depression and brittle extremeties,Endocrinology,2
33,dealing with nausea skin coma yellowish loss urine pain liver abdominal fatigue vomiting appetite yellowing joint eyes bleeding fever failure dark stomach pain acute high of of,Gastroenterology,3
34,i have obesity swollen fatigue veins cramps bruising prominent calf legs on,Cardiology,0
35,feeling marital patches fever high throat in muscle contacts wasting extra,Infectious,4
36,my main issue is nodal eruptions rash skin skin itching,Dermatology,1
